"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @mjk_0513: CoderDojoケーキを作ってもらいました！ #CoderDojoKashiwa https://t.co/sM3C9kxxj5",FALSE,0,NA,2018-03-11 09:20:29,FALSE,NA,"972764183522697216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eamonnmckenna36",3,TRUE,FALSE,NA,NA
"RT @mjk_0513: CoderDojoケーキを作ってもらいました！ #CoderDojoKashiwa https://t.co/sM3C9kxxj5",FALSE,0,NA,2018-03-11 09:19:59,FALSE,NA,"972764058473717761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoderDojo",3,TRUE,FALSE,NA,NA
"https://t.co/LZTQEoIeWh
#Minecraft #Python #Coderdojo @coderdojobo",FALSE,2,NA,2018-03-11 09:17:21,FALSE,NA,"972763395345838080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sprintingkiwi",0,FALSE,FALSE,NA,NA
"03/25(日) [参加8人/定員8人]https://t.co/zhH4Nc5d6C【CoderDojo 西新宿：第12回 3/25】 #CoderDojo 子ども プログラミング道場",FALSE,0,NA,2018-03-11 09:16:56,FALSE,NA,"972763292434251776",NA,"<a href=""http://upmeetup.appspot.com/"" rel=""nofollow"">upmeetup</a>","upmeetup",0,FALSE,FALSE,"139.6904861","35.6941253"
"RT @CoderdojoF: It’s a sell out for tomorrow’s @CoderDojo #1 Exciting. :-) https://t.co/ytrufwSlgb",FALSE,0,NA,2018-03-11 09:08:05,FALSE,NA,"972761066697646081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PiMinister",4,TRUE,FALSE,NA,NA
"RT @kwaka1208: 大きいニンジャと小さいニンジャ #coderdojo #japan #umeda https://t.co/H15ioVc9eB",FALSE,0,NA,2018-03-11 09:03:28,FALSE,NA,"972759900882288640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tkc49",1,TRUE,FALSE,NA,NA
"今日は CoderDojo梅田 でした！ #coderdojo #coderdojo-umeda https://t.co/i2UV8Jkto2",FALSE,2,NA,2018-03-11 09:01:14,FALSE,NA,"972759339281862657",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tkc49",1,FALSE,FALSE,NA,NA
"I vote for CoderDojo to #UpgradeYourWorld #Vote https://t.co/46jS27jCwo &lt;- Please vote daily till August 23 so CD g… https://t.co/84SRCkJ0rv",FALSE,0,NA,2018-03-11 08:45:06,TRUE,NA,"972755280835547137",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","khanshakeeb",0,FALSE,FALSE,NA,NA
"【CoderDojo(コーダードージョー)いいですよね！】
　
良い記事でした。
　
いろんな想いが熱いですなー。
　
きんきうぇぶでもCoderDojoやってほしいなー・・・。
　... https://t.co/L52mz4n3xH",FALSE,0,NA,2018-03-11 08:27:45,FALSE,NA,"972750915764719616",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","netsyukyakuclub",0,FALSE,FALSE,NA,NA
"RT @CoderdojoF: It’s a sell out for tomorrow’s @CoderDojo #1 Exciting. :-) https://t.co/ytrufwSlgb",FALSE,0,NA,2018-03-11 08:11:48,FALSE,NA,"972746899198488576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrisPenn84",4,TRUE,FALSE,NA,NA
"RT @CoderdojoF: It’s a sell out for tomorrow’s @CoderDojo #1 Exciting. :-) https://t.co/ytrufwSlgb",FALSE,0,NA,2018-03-11 08:05:00,FALSE,NA,"972745187565932545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsAll_Geek2Me",4,TRUE,FALSE,NA,NA
"It’s a sell out for tomorrow’s @CoderDojo #1 Exciting. :-) https://t.co/ytrufwSlgb",FALSE,8,NA,2018-03-11 08:04:45,FALSE,NA,"972745124450054144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoderdojoF",4,FALSE,FALSE,NA,NA
"RT @CDKashiwa: CoderDojo Kashiwa 100回目を記念したパーティーを開催しました！ご来場頂いた皆様、ありがとうございました。これからも CoderDojo Kashiwa をよろしくおねがい致します。
#CDK100 https://t.co/kB…",FALSE,0,NA,2018-03-11 07:17:11,FALSE,NA,"972733154527031296",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Kitahara_048",3,TRUE,FALSE,NA,NA
"Join us and Coderdojo Kilkenny, Coder Dojo Waterford, CoderDojo Wexford for Megadojo Southeast at Newpark Hotel... https://t.co/X2dKdDPGy5",FALSE,3,NA,2018-03-11 07:03:50,FALSE,NA,"972729794931634178",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","coderdojoTramor",0,FALSE,FALSE,NA,NA
"RT @ole_vwdilab: We did it! First @CoderDojo for Kids in #vwag_dilab - with the best team on earth @__phg , Karsten and Nico! Great fun! Wa…",FALSE,0,NA,2018-03-11 07:02:44,FALSE,NA,"972729518975868928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","j3s_s5t",1,TRUE,FALSE,NA,NA
"CoderDojo Kashiwa 100回目を記念したパーティーを開催しました！ご来場頂いた皆様、ありがとうございました。これからも CoderDojo Kashiwa をよろしくおねがい致します。
#CDK100 https://t.co/kB512pN8Rw",FALSE,7,NA,2018-03-11 06:45:23,FALSE,NA,"972725153300819968",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CDKashiwa",3,FALSE,FALSE,NA,NA
"RT @CoderDojo: ONLY TWO WEEKS LEFT to register youths project ideas to showcase at @coolestprojects!

Take 5 minutes today to register youn…",FALSE,0,NA,2018-03-11 06:43:42,FALSE,NA,"972724730334732289",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vladisac",10,TRUE,FALSE,NA,NA
"CoderDojoケーキを作ってもらいました！ #CoderDojoKashiwa https://t.co/sM3C9kxxj5",FALSE,14,NA,2018-03-11 06:39:19,FALSE,NA,"972723627450761216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mjk_0513",3,FALSE,FALSE,NA,NA
"本日もCoderDojo若葉を開催しました。今日もたくさんのお子さんが発表してくれました。
来月の開催は4/8(日)です。

終わった後はみつわ台桜祭りがありますよ！
是非お越し下さいね！ https://t.co/YZhSaIKKkD",FALSE,0,NA,2018-03-11 06:19:05,FALSE,NA,"972718533456019457",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","rucy703",0,FALSE,FALSE,NA,NA
"RT @GoStoneMarshall: Minecraft Has Already Taught 85 Million Students How to Code https://t.co/8AYXOP9iyW https://t.co/pabCddFdl6",FALSE,0,NA,2018-03-11 06:05:56,FALSE,NA,"972715225349869568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoderDojo_CA",1,TRUE,FALSE,NA,NA
